,sample
0,CTD-2588J6.1
1,RP11-433M22.1
2,CTD-2588J6.2
3,RP3-415N12.1
4,RP11-16E12.2
5,RP11-433M22.2
6,PSMA2P3
7,RP11-181G12.4
8,RP11-181G12.2
9,AC007272.3
10,OR10V3P
11,IGHV7-34-1
12,CPHL1P
13,CTD-2333K2.1
14,AC016683.5
15,RP11-654A16.3
16,RP1-20N18.4
17,TCOF1
18,NSRP1
19,RP5-1000K24.2
20,RP11-285A1.1
21,SPPL3
22,AF001548.5
23,AP000867.14
24,OPA3
25,OPA1
26,RP1-68D18.2
27,RP11-476K15.1
28,RP1-278O22.1
29,AC090587.5
30,AC090587.4
31,RP11-489D6.2
32,RP11-666A8.7
33,RP11-666A8.8
34,AL359853.1
35,RNU6-1209P
36,RP11-190A12.9
37,RNU4ATAC18P
38,AC092652.1
39,RNF219-AS1
40,RP11-61E11.2
41,RP11-61E11.1
42,ITGA8
43,ITGA9
44,CTA-113A6.1
45,AC108938.5
46,RP11-146D12.2
47,ITGA1
48,ITGA2
49,ITGA3
50,ITGA4
51,ITGA5
52,ITGA6
53,ITGA7
54,TRHR
55,AC010468.3
56,AC010468.2
57,AC010468.1
58,RP11-428L21.2
59,CA15P1
60,CA15P2
61,UFSP1
62,UFSP2
63,RP11-566K19.5
64,RP11-566K19.6
65,RP11-618L22.1
66,RP11-566K19.8
67,RP11-566K19.9
68,C9orf40
69,RP11-379H18.1
70,NUDT19P5
71,RP11-1094M14.7
72,TEX28P2
73,TEX28P1
74,AC141002.1
75,AC003688.1
76,FAM212B
77,FAM212A
78,CHST9
79,CHST8
80,CHST1
81,RP11-155G15.3
82,CHST3
83,CHST2
84,CHST5
85,CHST4
86,CHST7
87,CHST6
88,ITGAX
89,RPS4XP3
90,RPS4XP1
91,RPS4XP6
92,RPS4XP7
93,RPS4XP4
94,BCL2A1
95,RPS4XP8
96,RPS4XP9
97,RNU4-76P
98,ITGAV
99,RP11-16L9.1
100,AC004448.5
101,ITGAL
102,ITGAM
103,AC004448.2
104,RP11-379L18.3
105,ITGAD
106,ITGAE
107,CITF22-24E5.1
108,RP11-11H9.2
109,AC084149.1
110,AC084149.2
111,ATP1B3-AS1
112,RP11-456J20.2
113,AP002802.1
114,IGF2R
115,CTD-2587H24.5
116,CTD-2587H24.4
117,RP11-54J7.2
118,SLC36A4
119,SLC36A3
120,CKS1B
121,SLC36A1
122,AC114973.1
123,RP11-491F9.3
124,RP11-317B17.3
125,ITPK1-AS1
126,ARTN
127,ART1
128,ART3
129,ART5
130,ART4
131,RP11-1055B8.10
132,AC009120.4
133,RP11-261P13.5
134,AC129492.1
135,AC129492.6
136,MIR4267
137,CRTAM
138,RP11-170L9.1
139,DPYD-IT1
140,CADPS2
141,RLF
142,RP1-15D7.1
143,RNU6-590P
144,NUDT19P3
145,CTD-3116E22.8
146,CTD-3116E22.7
147,CTD-3116E22.6
148,CRTAP
149,RP11-85D18.1
150,ADPGK
151,RP4-697P8.3
152,CPEB4
153,CNN2P6
154,CPEB1
155,CPEB3
156,CPEB2
157,SRBD1
158,ABAT
159,RP11-758H9.2
160,C11orf98P1
161,AE000658.31
162,RP11-418B12.1
163,CTD-3065B20.3
164,CTD-3065B20.2
165,AP000568.2
166,RP11-795J1.2
167,RP11-795J1.1
168,POU5F1B
169,AP001063.1
170,AC006482.1
171,LL0XNC01-36H8.1
172,RP11-300J18.2
173,RP11-300J18.1
174,FAM41C
175,PHOX2A
176,RN7SL734P
177,PHOX2B
178,RP1-207H1.3
179,NLRP14
180,UPK2
181,CFH
182,CFI
183,ANKFY1
184,MESTP2
185,CFB
186,TPT1-AS1
187,AF001548.3
188,RP1-29C18.10
189,CFP
190,RNU5B-1
191,RP11-509A17.3
192,AAAS
193,RNU6-767P
194,AJ271736.10
195,SIDT1
196,AP003900.6
197,SIDT2
198,RP11-2N1.2
199,RP11-2N1.3
200,RP11-702H23.2
201,RP11-2N1.1
202,RP11-78O9.1
203,RP11-702H23.6
204,SAGE1
205,AC114271.2
206,RP11-89K11.1
207,AAGAB
208,AC093802.1
209,C4orf19
210,AL096700.1
211,SLC7A6OS
212,RP11-128P17.3
213,RP11-128P17.2
214,RP11-128P17.1
215,C4orf17
216,EIF3EP2
217,EIF3EP1
218,RP11-128P17.4
